x,y
728,830
720,838
712,846
704,854
712,862
720,870
728,878
736,886
744,894
752,902
760,894
768,886
776,878
784,886
792,878
800,870
808,862
816,854
824,846
832,838
840,830
848,838
856,830
864,822
872,830
880,822
888,814
