x,y
1289,820
1297,828
1305,836
1313,844
1321,852
1329,844
1321,836
1313,828
1321,820
1329,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1329,796
1337,804
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1313,780
1321,788
1313,780
1321,788
1313,796
1321,804
1329,796
1321,788
1313,796
1321,804
1329,812
1337,804
1345,812
1353,820
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1313,796
1321,804
1329,812
1337,804
1345,812
1353,820
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1313,796
1321,804
1329,812
1337,804
1345,812
1353,820
1345,812
1353,820
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1313,796
1321,804
1329,796
1321,788
1313,796
1321,804
1329,812
1321,804
1313,796
1321,804
1313,796
1305,804
1313,812
1321,804
1313,796
1305,788
1313,796
1305,788
1313,796
1305,788
1313,796
1305,788
1313,796
1305,788
1297,796
1305,788
1297,796
1289,804
1297,796
1289,804
1297,796
1289,804
1297,812
1305,804
1313,812
1321,804
1329,812
1321,804
1313,796
1321,804
1313,796
1305,788
1297,796
1289,804
1281,812
1289,804
1281,796
1273,804
1281,812
1289,804
1281,796
1289,804
1281,796
1289,804
1281,796
1289,804
1281,796
1273,804
1265,812
1257,804
1249,812
1257,804
1249,812
1257,804
1265,796
1257,804
1265,796
1257,804
1265,796
1257,804
1265,796
1273,788
1265,796
1273,788
1265,796
1257,788
1265,796
1257,788
1249,796
1257,804
1249,796
1241,788
1249,796
1241,788
1249,796
1241,788
1249,796
1241,788
1233,796
1241,804
1249,796
1241,788
1249,780
1257,788
1249,796
1241,788
1249,780
1257,788
1249,796
1241,788
1249,796
1241,788
1249,780
1257,788
1265,796
1273,788
1265,796
1257,788
1249,796
1257,788
1249,796
1241,788
1249,796
1241,788
1249,780
1257,788
1265,780
1273,788
1265,796
1273,804
1281,812
1289,804
1297,812
1305,804
1313,796
1321,804
1329,796
1337,788
1345,780
1353,772
1361,764
1369,756
1377,748
1385,740
1393,732
1401,724
1409,716
1417,708
1409,700
1417,692
1425,684
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
