x,y
1289,820
1297,828
1305,836
1313,844
1321,852
1329,844
1321,836
1329,828
1337,820
1329,812
1321,804
1329,796
1337,804
1345,812
1353,820
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1313,796
1321,804
1329,812
1337,804
1345,812
1353,820
1345,812
1353,820
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1329,796
1321,788
1313,796
1321,804
1329,812
1337,804
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1329,796
1321,788
1313,780
1321,788
1313,780
1321,788
1313,780
1321,788
1313,780
1305,788
1313,796
1321,804
1329,812
1337,820
1345,828
1353,836
1345,828
1353,836
1345,828
1337,820
1345,828
1337,820
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1313,796
1321,804
1313,796
1321,804
1313,796
1321,804
1313,796
1321,804
1313,796
1321,804
1313,796
1305,788
1313,796
1321,804
1313,796
1305,788
1313,796
1305,788
1297,796
1289,804
1297,796
1305,804
1313,812
1321,804
1329,812
1337,820
1345,828
1353,836
1345,828
1337,820
1345,828
1337,820
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1313,812
1321,820
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1313,812
1305,804
1313,812
1305,804
1313,812
1305,804
1313,812
1305,804
1313,812
1305,804
1313,812
1305,804
1297,796
1305,788
1313,796
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,804
1329,812
1321,820
1329,812
1337,820
1345,828
1353,836
1345,828
1353,836
1345,828
1353,836
1361,844
1353,836
1345,828
1353,836
1345,828
1353,836
1345,828
1353,836
1345,828
1337,836
1329,828
1337,820
1345,828
1337,836
1329,828
1321,820
1313,812
1305,804
1313,796
1321,788
1329,796
1337,788
1345,780
1353,772
1361,764
1369,756
1377,748
1385,740
1393,732
1401,724
1409,716
1417,708
1425,700
1417,692
1425,684
1417,676
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
1417,660
1409,668
