x,y
1289,820
1297,828
1305,836
1313,844
1321,852
1313,844
1321,836
1329,828
1321,820
1329,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1345,812
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,804
1329,796
1337,788
1345,780
1353,772
1361,764
1369,756
1377,748
1385,740
1393,732
1401,724
1409,716
1401,708
1409,700
1417,692
1425,684
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
1417,676
1425,668
